"","X","name","url","state","town","vertical","base","snow","trails","acres","longestRun","snowMaking","lifts","lat","lon","ticket"
"132",132,"Brighton Ski Resort","http://www.skicentral.com/brighton.html","Utah","Brighton, Utah Mountain",1745,8755,500,66,1050,"n/a","yes",7,40.598019,-111.583187,85
"133",133,"Snowbasin Ski Resort","http://www.skicentral.com/snowbasin.html","Utah","Huntsville, Utah ",2959,6391,400,104,3000,"n/a","yes",11,41.216045,-111.856897,109
"134",134,"Eagle Point","http://www.skicentral.com/eaglepoint.html","Utah","Beaver, Utah Mountain",1500,9000,450,40,600,"n/a","character(0)",5,38.3203245,-112.3838562,60
"135",135,"Beaver Mountain Ski Area","http://www.skicentral.com/beavermountainskiarea.html","Utah","Logan, Utah ",1600,7200,400,48,828,"n/a","character(0)",5,41.968075,-111.544144,50
"136",136,"Sundance Resort","http://www.skicentral.com/sundanceresort.html","Utah","Provo, Utah Mountain",2150,6100,300,42,450,"n/a","character(0)",5,40.3934222,-111.5887709,80
"137",137,"Cherry Peak","http://www.skicentral.com/cherrypeak.html","Utah","character(0)",1265,5775,322,20,200,"n/a","yes",3,41.9263482,-111.7564058,39
"138",138,"Mount Baker","http://www.skicentral.com/mt.baker.html","Washington","Bellingham, Washington Mt. Baker Lodging Cabins and Condo RentalsMt. Baker Lodging is your source for private Mt. Baker area cabins and condos rentals, located at the gateway to the Mount Baker Recreation Area! Closest to the ski area. Rates at $99/night. ",1500,3500,701,31,1000,"1.75 miles / 2.8 km","character(0)",10,48.7766868,-121.8144143,61
"139",139,"Crystal Mountain","http://www.skicentral.com/crystalmountain.html","Washington","Enumclaw, Washington ",3100,4400,367,57,2300,"2.5 miles / 4 km","character(0)",11,46.9281666,-121.5045349,76
"140",140,"The Summit at Snoqualmie","http://www.skicentral.com/snoqualmie.html","Washington","Snoqualmie Pass, Washington Mountain",2280,2610,435,62,1981,"1.2 miles / 1.9 km","yes",24,47.42044,-121.4211049,75
"141",141,"Stevens Pass Ski Area","http://www.skicentral.com/stevenspass.html","Washington","Skykomish, Washington Mountain",1800,4061,450,37,1125,"n/a","character(0)",10,47.7448119,-121.0890197,79
"142",142,"Mt. Spokane Ski & Snowboard Park","http://www.skicentral.com/spokane.html","Washington","Mead, Washington Mountain",2000,4200,NA,45,1425,"n/a","character(0)",5,47.921382,-117.096416,58
"143",143,"49 Degrees North","http://www.skicentral.com/49degreesnorth.html","Washington","Chewelah, Washington Mountain",1851,3923,NA,82,2325,"2.75 miles / 4.4 km","character(0)",7,48.3010972,-117.5629161,59
"144",144,"Loup Loup Ski Bowl","http://www.skicentral.com/louploupskibowl.html","Washington","Okanogan, Washington Mountain",1780,4040,150,10,300,"2 miles / 3.2 km","character(0)",3,48.3943616,-119.91097,50
"145",145,"Mission Ridge","http://www.skicentral.com/missionridge.html","Washington","Wenatchee, Washington Mountain",2250,4570,NA,36,2000,"n/a","yes",6,47.2924455,-120.3997706,69
"146",146,"Sahalie Ski Club","http://www.skicentral.com/sahalieskiclub.html","Washington","character(0)",NA,NA,NA,0,80,"n/a","character(0)",1,47.4307943,-121.4164657,NA
"147",147,"Leavenworth Ski HIll","http://www.skicentral.com/leavenworthskihill.html","Washington","Leavenworth, Washington Mountain",200,1200,NA,2,NA,"n/a","character(0)",2,47.5988356,-120.6686832,19
"148",148,"Hurricane Ridge","http://www.skicentral.com/hurricaneridge.html","Washington","Port Angeles, Washington Mountain",800,4800,400,10,NA,"n/a","character(0)",3,47.9331457,-123.4096268,34
"149",149,"Bluewood","http://www.skicentral.com/bluewood.html","Washington","Dayton, Washington Mountain",1125,4545,300,24,400,"2.25 miles / 3.6 km","character(0)",3,46.0824866,-117.8511673,44
"150",150,"White Pass","http://www.skicentral.com/whitepass.html","Washington","Naches, Washington ",1500,4500,390,40,NA,"n/a","yes",8,46.6387257,-121.389528,66
"151",151,"Jackson Hole Mountain Resort","http://www.skicentral.com/jacksonhole.html","Wyoming","Teton Village, Wyoming Up to 40% Off Jackson Hole Resort Lodging & Ski PackagesJackson Hole lodging and complete ski packages up to 40% off. Book early & save with Rocky ",4139,6311,475,116,2500,"n/a","yes",13,43.5875453,-110.8279183,136
"152",152,"Grand Targhee Ski Resort","http://www.skicentral.com/grandtarghee.html","Wyoming","Alta, Wyoming Mountain",2270,7408,500,72,2500,"n/a","yes",5,43.787113,-110.959296,85
"153",153,"Snow King Resort","http://www.skicentral.com/snowking.html","Wyoming","Jackson, Wyoming ",1571,6237,150,16,400,"n/a","character(0)",4,43.4736695,-110.7547913,55
"154",154,"Hogadon Ski Area","http://www.skicentral.com/hogadon.html","Wyoming","Casper, Wyoming Mountain",600,7400,NA,24,60,"n/a","yes",3,42.7452867,-106.3389955,42
"155",155,"Pine Creek Ski Resort","http://www.skicentral.com/pinecreekskiresort.html","Wyoming","character(0)",1400,6875,NA,30,NA,"n/a","no",2,42.1029708,-110.8288255,45
"156",156,"Sleeping Giant Ski Area","http://www.skicentral.com/sleepinggiantskiarea.html","Wyoming","Cody, Wyoming Mountain",810,6619,150,49,184,"n/a","character(0)",3,44.495161,-109.943619,36
"157",157,"Snowy Range","http://www.skicentral.com/snowyrange.html","Wyoming","Centennial, Wyoming Mountain",865,8798,245,27,250,"1.8 miles / 2.9 km","character(0)",5,41.3412218,-106.1835168,49
"158",158,"White Pine Ski Area","http://www.skicentral.com/whitepineskiarea.html","Wyoming","Pinedale, Wyoming Mountain",1100,8400,NA,25,370,"n/a","character(0)",2,42.9778494,-109.7586597,48
"159",159,"Chestnut Mountain Resort","http://www.skicentral.com/chestnutmountainresort.html","Illinois","Galena, Illinois ",475,NA,NA,19,220,"n/a","character(0)",9,42.319017,-90.393793,55
"160",160,"Four Lakes Village","http://www.skicentral.com/fourlakesvillage.html","Illinois","Lisle, Illinois Mountain",100,400,NA,5,NA,"n/a","yes",7,41.7833046,-88.0796163,28
"161",161,"Raging Buffalo Snowboard and Ski Park","http://www.skicentral.com/ragingbuffalosnowboardpark.html","Illinois","Algonquin, Illinois Mountain",150,NA,40,5,NA,"700 feet / 213 meters","yes",3,42.1473153,-88.2939445,45
"162",162,"Ski Snowstar","http://www.skicentral.com/skisnowstar.html","Illinois","Andalusia, Illinois Mountain",262,528,38,15,28,"3960 feet / 1207 meters","yes",6,41.425203,-90.746175,35
"163",163,"Villa Olivia","http://www.skicentral.com/villaolivia.html","Illinois","Bartlett, Illinois Mountain",180,NA,NA,7,15,"1320 feet / 402 metres","yes",7,42.012825,-88.22016,40
"164",164,"Paoli Peaks","http://www.skicentral.com/paolipeaks.html","Indiana","Paoli, Indiana Mountain",300,600,18,17,65,"n/a","character(0)",8,38.5555032,-86.5122754,42
"165",165,"Perfect North Slopes","http://www.skicentral.com/perfectnorthslopes.html","Indiana","Lawrenceburg, Indiana Mountain",400,400,18,23,100,"5280 feet / 1609 metres","yes",7,39.1474575,-84.8857301,52
"166",166,"Mt. Crescent","http://www.skicentral.com/mtcrescent.html","Iowa","Honey Creek, Iowa Mountain",300,1046,NA,10,50,"2400 feet / 732 meters","yes",2,41.3917746,-95.8571909,39
"167",167,"Seven Oaks Recreation Area","http://www.skicentral.com/sevenoaksrecreationarea.html","Iowa","Boone, Iowa Mountain",275,NA,NA,11,NA,"n/a","yes",4,42.0306987,-93.9533806,39
"168",168,"Sundown Mountain","http://www.skicentral.com/sundownmountain.html","Iowa","Dubuque, Iowa ",475,NA,NA,21,NA,"n/a","yes",6,42.5163315,-90.8186286,46
"169",169,"Blackjack Ski Resort","http://www.skicentral.com/blackjack.html","Michigan","Bessemer, Michigan ",490,1185,204,26,170,"n/a","yes",6,46.5042363,-89.9981817,65
"170",170,"Indianhead Mountain Resort","http://www.skicentral.com/indianhead.html","Michigan","500 Indianhead Rd Wakefield, Michigan ",638,1297,204,30,230,"n/a","yes",9,46.500277,-89.970939,65
"171",171,"Ski Brule","http://www.skicentral.com/skibrule.html","Michigan","Iron River, Michigan ",500,1361,150,17,150,"n/a","yes",11,46.0273883,-88.6953512,49
"172",172,"Big Powderhorn Mountain","http://www.skicentral.com/bigpowderhorn.html","Michigan","Bessemer, Michigan ",622,1218,214,33,253,"5280 feet / 1609 metres","yes",10,46.5097428,-90.0941598,69
"173",173,"Boyne Highlands","http://www.skicentral.com/boynehighlands.html","Michigan","Harbor Springs, Michigan Mountain",552,NA,140,55,435,"1.25 miles / 2 km","yes",10,45.4647195,-84.9266096,95
"174",174,"Boyne Mountain","http://www.skicentral.com/boyne.html","Michigan","Boyne Falls, Michigan ",500,620,140,60,415,"5280 feet / 1609 metres","yes",12,45.168065,-84.9161574,95
"175",175,"Crystal Mountain Resort","http://www.skicentral.com/crystalmountainresort.html","Michigan","Thompsonville, Michigan ",375,757,132,58,102,"5280 feet / 1609 metres","yes",8,44.5193916,-85.9909062,54
"176",176,"Shanty Creek Resorts","http://www.skicentral.com/shantycreekresorts.html","Michigan","Bellaire, Michigan Mountain",450,675,175,53,400,"1 feet / 0 meters","yes",12,44.9487833,-85.1853014,70
"177",177,"Alpine Valley","http://www.skicentral.com/alpinevalleymichigan.html","Michigan","White Lake, Michigan Mountain",300,NA,NA,25,NA,"2000 feet / 610 meters","yes",14,42.6529705,-83.5230445,45
"178",178,"Apple Mountain","http://www.skicentral.com/applemountain.html","Michigan","Freeland, Michigan ",220,NA,52,12,NA,"n/a","yes",5,43.4725234,-84.1032143,NA
"179",179,"Caberfae Peaks Ski Resort","http://www.skicentral.com/caberfaepeaksskiresort.html","Michigan","Cadillac, Michigan ",485,1060,150,34,225,"3960 feet / 1207 meters","yes",5,44.2447088,-85.7205725,49
"180",180,"Hanson Hills Recreation Area","http://www.skicentral.com/hansonhillsrecreationarea.html","Michigan","Grayling, Michigan Mountain",225,1137,3,11,125,"n/a","yes",4,44.6455709,-84.7534741,25
"181",181,"Marquette Mountain","http://www.skicentral.com/marquettemountain.html","Michigan","Marquette, Michigan ",457,800,149,25,169,"1.25 miles / 2 km","yes",4,46.5082898,-87.4205293,48
"182",182,"Mount Bohemia","http://www.skicentral.com/mountbohemia.html","Michigan","Lac La Belle, Michigan Mountain",900,NA,273,95,585,"n/a","no",2,47.3885878,-88.0221712,64
"183",183,"Cannonsburg Ski Area","http://www.skicentral.com/cannonsburgskiarea.html","Michigan","Belmont, Michigan Mountain",250,668,12,20,NA,"n/a","character(0)",10,43.0541098,-85.5012494,37
"184",184,"Mt. Holiday","http://www.skicentral.com/mtholiday.html","Michigan","Traverse City, Michigan Mountain",180,240,120,14,45,"n/a","character(0)",5,44.7434767,-85.5143504,34
"185",185,"Mt. Zion","http://www.skicentral.com/mtzion.html","Michigan","Ironwood, Michigan Mountain",300,1100,200,9,20,"3960 feet / 1207 meters","yes",2,42.7188347,-83.3431522,NA
"186",186,"Mulligans Hollow","http://www.skicentral.com/mulliganshollow.html","Michigan","Grand Haven, Michigan Mountain",NA,NA,NA,6,7,"700 feet / 213 meters","yes",5,43.0577903,-86.2397188,20
"187",187,"Nub's Nob","http://www.skicentral.com/nubsnob.html","Michigan","Gaylord, Michigan ",427,911,123,53,248,"4752 feet / 1448 metres","yes",11,45.4717721,-84.9040952,76
"188",188,"Otsego Club","http://www.skicentral.com/otsegoclub.html","Michigan","Gaylord, Michigan Mountain",358,1049,155,31,NA,"360 feet / 110 meters","yes",5,45.0277331,-84.6553341,65
"189",189,"Pando Ski Center","http://www.skicentral.com/pandoskicenter.html","Michigan","Rockford, Michigan Mountain",125,NA,75,8,55,"500 feet / 152 meters","yes",6,43.0541098,-85.5012494,37
"190",190,"Pine Knob Ski Resort","http://www.skicentral.com/pineknobskiresort.html","Michigan","Clarkston, Michigan Mountain",300,NA,NA,17,NA,"n/a","yes",12,42.7456304,-83.3691037,45
"191",191,"Pine Mountain Ski Resort","http://www.skicentral.com/pinemountainskiresort.html","Michigan","Iron Mountain, Michigan ",500,NA,NA,27,160,"n/a","yes",5,45.8393161,-88.0884285,48
"192",192,"Porcupine Mountains","http://www.skicentral.com/porcupinemountains.html","Michigan","Silver City, Michigan ",787,NA,200,42,NA,"5280 feet / 1609 metres","character(0)",1,46.7759417,-89.7350566,27
"193",193,"Mt. Brighton","http://www.skicentral.com/mtbrighton.html","Michigan","Brighton, Michigan Mountain",230,NA,NA,26,130,"1478 feet / 451 metres","yes",18,42.5407834,-83.8115528,57
"194",194,"Ski Bittersweet","http://www.skicentral.com/skibittersweet.html","Michigan","Otsego, Michigan Mountain",350,NA,NA,20,NA,"n/a","yes",15,42.467159,-85.758719,46
"195",195,"Mont Ripley","http://www.skicentral.com/montripley.html","Michigan","Hancock, Michigan Mountain",440,NA,250,24,112,"n/a","yes",3,47.127847,-88.560052,49
"196",196,"Ski Mt. Holly","http://www.skicentral.com/skimtholly.html","Michigan","Holly, Michigan ",350,NA,NA,19,100,"n/a","yes",7,42.8309394,-83.5641565,45
"197",197,"Snow Snake Ski And Golf","http://www.skicentral.com/snowsnakeskiandgolf.html","Michigan","Harrison, Michigan ",210,NA,11,10,NA,"n/a","yes",6,43.959106,-84.7809281,30
"198",198,"Swiss Valley","http://www.skicentral.com/swissvalley.html","Michigan","Jones, Michigan Mountain",225,NA,NA,11,NA,"n/a","yes",7,41.9541345,-85.8271408,42
"199",199,"The Homestead","http://www.skicentral.com/thehomesteadresort.html","Michigan","Glen Arbor, Michigan Mountain",375,500,150,15,16,"1320 feet / 402 meters","yes",5,44.9134552,-85.964345,50
"200",200,"Timber Ridge","http://www.skicentral.com/timberridge.html","Michigan","Gobles, Michigan Mountain",240,610,60,16,50,"2000 feet / 610 meters","yes",10,42.3915135,-85.7809495,40
"201",201,"Treetops Sylvan","http://www.skicentral.com/treetopssylvan.html","Michigan","Gaylord, Michigan Mountain",225,1120,150,23,80,"2200 feet / 671 meters","yes",7,45.0330717,-84.5892232,47
"202",202,"Lutsen Mountains","http://www.skicentral.com/lutsen.html","Minnesota","Lutsen, Minnesota ",825,863,115,92,1000,"2 miles / 3.2 km","yes",9,47.663713,-90.7135557,82
"203",203,"Giants Ridge Ski Resort","http://www.skicentral.com/giantsridge.html","Minnesota","Biwabik, Minnesota Mountain",500,1472,85,35,202,"3960 feet / 1207 metres","yes",6,47.5765197,-92.3031692,56
"204",204,"Afton Alps","http://www.skicentral.com/aftonalps.html","Minnesota","Hastings, Minnesota Mountain",350,350,55,48,300,"n/a","yes",20,44.8538425,-92.7856179,60
"205",205,"Andes Tower Hills","http://www.skicentral.com/andestowerhills.html","Minnesota","Kensington, Minnesota Mountain",290,1330,NA,15,NA,"n/a","character(0)",4,45.850975,-95.6304971,44
"206",206,"Buck Hill Ski Resort","http://www.skicentral.com/buckhillskiresort.html","Minnesota","Burnsville, Minnesota Mountain",262,949,60,16,NA,"n/a","yes",9,44.7231319,-93.287252,45
"207",207,"Buena Vista Ski Area","http://www.skicentral.com/buenavistaskiarea.html","Minnesota","Bemidji, Minnesota Mountain",230,NA,NA,18,NA,"n/a","character(0)",6,47.6580367,-94.8788904,42
"208",208,"Coffee Mill Ski Area","http://www.skicentral.com/coffeemillskiarea.html","Minnesota","character(0)",425,NA,NA,14,NA,"n/a","character(0)",3,44.3636613,-92.0434902,32
"209",209,"Hyland Ski & Snowboard Area","http://www.skicentral.com/hylandskisnowboardarea.html","Minnesota","Bloomington, Minnesota Mountain",175,850,NA,9,NA,"n/a","yes",9,44.84363,-93.363611,35
"210",210,"Mount Kato Ski & Bike","http://www.skicentral.com/mountkatoskibike.html","Minnesota","Mankato, Minnesota Mountain",240,610,NA,19,65,"n/a","character(0)",10,44.1331486,-94.0334256,45
"211",211,"Powder Ridge","http://www.skicentral.com/powderridge.html","Minnesota","Kimball, Minnesota Mountain",290,NA,NA,15,NA,"n/a","character(0)",6,45.3437094,-94.3052638,48
"212",212,"Mount Ski Gull","http://www.skicentral.com/skigull.html","Minnesota","Nisswa, Minnesota Mountain",230,1285,NA,10,NA,"n/a","yes",3,46.4475173,-94.3779162,32
"213",213,"Spirit Mountain","http://www.skicentral.com/spiritmountain.html","Minnesota","Duluth, Minnesota ",700,620,NA,21,NA,"n/a","character(0)",7,46.7182684,-92.2167365,55
"214",214,"Welch Village Ski Resort","http://www.skicentral.com/welchvillageskiresort.html","Minnesota","Welch, Minnesota Mountain",360,700,NA,50,NA,"n/a","character(0)",10,44.5607394,-92.7304159,58
"215",215,"Wild Mountain","http://www.skicentral.com/wildmountain.html","Minnesota","Taylors Falls, Minnesota ",300,NA,NA,26,NA,"n/a","character(0)",8,45.4888439,-92.7053062,52
"216",216,"Snow Creek","http://www.skicentral.com/snowcreek.html","Missouri","Weston, Missouri Mountain",300,NA,NA,12,NA,"n/a","yes",5,39.4673593,-94.9707828,44
"217",217,"Hidden Valley Golf & Ski Resort","http://www.skicentral.com/hiddenvalleygolfskiresort.html","Missouri","Wildwood, Missouri Mountain",310,NA,NA,15,60,"n/a","yes",10,36.9836836,-93.369079,48
"218",218,"Bottineau Winter Park","http://www.skicentral.com/bottineauwinterpark.html","North Dakota","Bottineau, North Dakota Mountain",180,2270,NA,9,40,"n/a","yes",6,48.9512327,-100.4775281,35
"219",219,"Frost Fire","http://www.skicentral.com/frostfire.html","North Dakota","Walhalla, North Dakota Mountain",350,NA,NA,10,NA,"2600 feet / 792 meters","yes",3,48.9115064,-98.0675928,23
"220",220,"Huff Hills Ski Area","http://www.skicentral.com/huffhillsskiarea.html","North Dakota","Mandan, North Dakota Mountain",450,NA,NA,16,NA,"3960 feet / 1207 meters","yes",4,46.6268609,-100.723275,30
"221",221,"Alpine Valley","http://www.skicentral.com/alpinevalley.html","Ohio","character(0)",260,1260,113,7,NA,"n/a","character(0)",5,41.52687,-81.259745,43
"222",222,"BostonMills - Brandywine","http://www.skicentral.com/bostonmills-brandywine.html","Ohio","Peninsula, Ohio Mountain",264,NA,58,18,NA,"n/a","yes",18,41.2648239,-81.5642702,43
"223",223,"Mad River Mountain","http://www.skicentral.com/madrivermountain.html","Ohio","Zanesfield, Ohio ",300,1160,22,20,144,"n/a","character(0)",12,40.3180764,-83.6776953,45
"224",224,"Snow Trails","http://www.skicentral.com/snowtrails.html","Ohio","Mansfield, Ohio Mountain",300,1174,52,17,80,"2000 feet / 610 meters","yes",7,40.672904,-82.498508,52
"225",225,"Big Creek Ski Area","http://www.skicentral.com/bigcreekskiarea.html","Ohio","character(0)",175,1290,102,5,23,"n/a","yes",2,41.647257,-81.184051,NA
"226",226,"Terry Peak","http://www.skicentral.com/terrypeak.html","South Dakota","Lead, South Dakota Mountain",1100,NA,150,30,450,"n/a","yes",4,44.3274841,-103.8352015,56
"227",227,"Great Bear Recreation","http://www.skicentral.com/greatbearrecreationpark.html","South Dakota","Sioux Falls, South Dakota Mountain",190,NA,NA,14,NA,"n/a","yes",2,43.578002,-96.664547,26
"228",228,"Deer Mountain","http://www.skicentral.com/mysticminerskiresort.html","South Dakota","Lead, South Dakota ",850,6000,200,50,NA,"n/a","character(0)",3,44.3085778,-103.8103912,45
"229",229,"Granite Peak Ski Area","http://www.skicentral.com/granitepeak.html","Wisconsin","Wausau, Wisconsin Mountain",700,1250,75,74,275,"n/a","yes",8,44.929236,-89.683162,76
"230",230,"Devils Head","http://www.skicentral.com/devilshead.html","Wisconsin","Merrimac, Wisconsin ",500,495,70,30,300,"1.5 miles / 2.4 km","yes",11,43.4180036,-89.6268972,57
"231",231,"Alpine Valley Resort","http://www.skicentral.com/alpinevalleyresort.html","Wisconsin","Elkhorn, Wisconsin ",388,NA,NA,20,90,"n/a","character(0)",12,42.7358161,-88.4280693,51
"232",232,"Whitecap Mountains","http://www.skicentral.com/whitecapmountains.html","Wisconsin","Upson, Wisconsin ",400,1295,NA,43,NA,"n/a","yes",7,46.4079894,-90.3951936,55
"233",233,"Cascade Mountain","http://www.skicentral.com/cascademountain.html","Wisconsin","Portage, Wisconsin ",450,820,NA,36,160,"n/a","yes",10,43.5037245,-89.5172569,59
"234",234,"Blackhawk Ski Club","http://www.skicentral.com/blackhawkskiclub.html","Wisconsin","Middleton, Wisconsin ",300,NA,NA,6,NA,"n/a","yes",5,43.082221,-89.5684229,NA
"235",235,"Bruce Mound Winter Sports Area","http://www.skicentral.com/brucemound.html","Wisconsin","Merrillan, Wisconsin Mountain",375,NA,NA,8,NA,"3000 feet / 914 meters","yes",5,44.4456559,-90.7845327,23
"236",236,"Camp 10 Ski n Snowboard","http://www.skicentral.com/camp10skinsnowboard.html","Wisconsin","Rhinelander, Wisconsin Mountain",250,NA,NA,15,NA,"1800 feet / 549 meters","yes",4,45.5501128,-89.504204,34
"237",237,"Christie Mountain","http://www.skicentral.com/christiemountain.html","Wisconsin","Bruce, Wisconsin ",350,1300,NA,26,NA,"4013 feet / 1223 metres","yes",6,45.5090925,-91.3808238,37
"238",238,"Christmas Mountain Village","http://www.skicentral.com/christmasmountainvillage.html","Wisconsin","Wisconsin Dells, Wisconsin ",250,1000,39,15,40,"n/a","yes",5,43.609581,-89.861353,45
"239",239,"Grand Geneva","http://www.skicentral.com/grandgeneva.html","Wisconsin","Lake Geneva, Wisconsin ",211,875,34,18,30,"n/a","yes",5,42.6027401,-88.4053708,49
"240",240,"Keyes Peak Ski Hill","http://www.skicentral.com/keyespeakskihill.html","Wisconsin","Florence, Wisconsin Mountain",230,NA,60,5,NA,"450 feet / 137 meters","yes",3,45.8957406,-88.2994879,12
"241",241,"Little Switzerland","http://www.skicentral.com/littleswitzerland.html","Wisconsin","Slinger, Wisconsin Mountain",200,1069,45,15,50,"1800 feet / 549 meters","yes",7,43.3378391,-88.2789304,45
"242",242,"Mont Du Lac","http://www.skicentral.com/montdulac.html","Wisconsin","Superior, Wisconsin Mountain",320,NA,55,8,10,"3000 feet / 914 meters","yes",3,46.653216,-92.2842591,40
"243",243,"Mt. La Crosse Ski Area","http://www.skicentral.com/mtlacrosseskiarea.html","Wisconsin","La Crosse, Wisconsin Mountain",516,594,NA,19,100,"5300 feet / 1615 meters","yes",4,43.7436241,-91.1829743,56
"244",244,"Nordic Mountain","http://www.skicentral.com/nordicmountain.html","Wisconsin","Wild Rose, Wisconsin ",265,NA,NA,14,NA,"n/a","character(0)",6,44.1197015,-89.174718,46
"245",245,"Sunburst","http://www.skicentral.com/sunburst.html","Wisconsin","Kewaskum, Wisconsin Mountain",214,NA,NA,12,40,"n/a","yes",6,43.493936,-88.224007,44
"246",246,"Trollhaugen","http://www.skicentral.com/trollhaugen.html","Wisconsin","Dresser, Wisconsin Mountain",260,NA,51,24,90,"2500 feet / 762 meters","yes",10,45.3513159,-92.6180935,51
"247",247,"Tyrol Basin","http://www.skicentral.com/tyrolbasin.html","Wisconsin","Mount Horeb, Wisconsin ",260,870,NA,18,30,"n/a","yes",6,43.0460356,-89.7805081,45
"248",248,"Ausblick","http://www.skicentral.com/ausblick.html","Wisconsin","Sussex, Wisconsin Mountain",182,970,NA,6,NA,"n/a","yes",2,43.1346697,-88.2645831,NA
"249",249,"Wilmot Mountain","http://www.skicentral.com/wilmotmountain.html","Wisconsin","Wilmot, Wisconsin ",190,770,48,25,120,"2500 feet / 762 meters","yes",11,42.4989548,-88.1876602,66
"250",250,"Mohawk Mountain","http://www.skicentral.com/mohawkmountain.html","Connecticut","West Cornwall, Connecticut ",650,960,59,25,112,"6600 feet / 2012 meters","yes",8,41.838231,-73.3150586,64
"251",251,"Mount Southington","http://www.skicentral.com/mountsouthington.html","Connecticut","Plantsville, Connecticut Special Packages at Woodloch Resort - Ski 'N' StayWoodloch Pines Resort is just a short 90 mile drive from the NYC area! Winner of Trip Advisor's 2012 'Traveler's Choice Award.' Kids 6 & under free during select midweeks! ",425,100,80,14,51,"n/a","character(0)",7,41.5820605,-72.9249201,59
"252",252,"Ski Sundown","http://www.skicentral.com/skisundown.html","Connecticut","New Hartford, Connecticut ",625,450,NA,15,65,"n/a","character(0)",5,41.8846852,-72.9466986,62
"253",253,"Woodbury Ski Area","http://www.skicentral.com/woodburyskiarea.html","Connecticut","Woodbury, Connecticut Special Packages at Woodloch Resort - Ski 'N' StayWoodloch Pines Resort is just a short 90 mile drive from the NYC area! Winner of Trip Advisor's 2012 'Traveler's Choice Award.' Kids 6 & under free during select midweeks! ",300,NA,NA,12,100,"n/a","character(0)",5,41.5905993,-73.2553654,42
"254",254,"Powder Ridge Park","http://www.skicentral.com/powderridgepark.html","Connecticut","Middlefield, Connecticut Mountain",550,170,38,19,80,"n/a","yes",5,41.500524,-72.740749,55
"255",255,"Sugarloaf","http://www.skicentral.com/sugarloaf.html","Maine","Carrabassett Valley, Maine ",2820,1417,200,161,1230,"3.5 miles / 5.6 km","yes",14,45.0314444,-70.3131231,85
"256",256,"Sunday River","http://www.skicentral.com/sundayriver.html","Maine","Newry, Maine ",2340,800,167,135,870,"n/a","yes",15,44.473609,-70.856951,105
"257",257,"Black Mountain of Maine","http://www.skicentral.com/blackmountainmaine.html","Maine","Rumford, Maine ",1150,1000,NA,20,NA,"5280 feet / 1609 metres","yes",4,44.576957,-70.613337,37
"258",258,"Camden Snow Bowl","http://www.skicentral.com/camdensnowbowl.html","Maine","Camden, Maine ",850,235,NA,23,NA,"n/a","yes",3,44.2172719,-69.1346694,35
"259",259,"Eaton Mountain","http://www.skicentral.com/eatonmountain.html","Maine","character(0)",620,NA,NA,17,130,"n/a","yes",2,44.767699,-69.6174431,15
"260",260,"Lost Valley","http://www.skicentral.com/lostvalley.html","Maine","Auburn, Maine ",240,240,99,16,45,"n/a","yes",2,44.1340569,-70.2823728,49
"261",261,"Mt. Abram Ski Resort","http://www.skicentral.com/mtabramskiresort.html","Maine","Greenwood, Maine ",1150,NA,NA,51,NA,"n/a","yes",5,44.3797963,-70.7068649,59
"262",262,"Hermon Mountain","http://www.skicentral.com/newhermonmountain.html","Maine","Hermon, Maine ",256,NA,NA,20,60,"4752 feet / 1448 metres","yes",2,44.7807854,-68.9572709,32
"263",263,"Powderhouse Hill","http://www.skicentral.com/powderhousehill.html","Maine","South Berwick, Maine ",175,119,NA,3,NA,"n/a","no",1,44.6833931,-70.1478397,NA
"264",264,"Saddleback Ski Area","http://www.skicentral.com/saddlebackskiarea.html","Maine","Rangeley, Maine ",2000,2460,225,66,220,"3.1 miles / 5 km","yes",5,44.9462173,-70.5270814,69
"265",265,"Shawnee Peak Skiing","http://www.skicentral.com/shawneepeakskiing.html","Maine","Bridgton, Maine ",1300,NA,NA,40,249,"n/a","yes",5,44.058996,-70.815538,69
"266",266,"Mt Jefferson Ski Area","http://www.skicentral.com/skimtjefferson.html","Maine","Lee, Maine ",432,NA,NA,12,NA,"n/a","no",2,45.3539848,-68.2830345,20
"267",267,"Titcomb Mountain","http://www.skicentral.com/skititcomb.html","Maine","Farmington, Maine ",350,400,85,16,45,"n/a","yes",3,44.6497498,-70.1703715,22
"268",268,"Big Squaw Mountain","http://www.skicentral.com/bigsquawmountain.html","Maine","Greenville Junction, Maine ",800,NA,NA,17,NA,"n/a","yes",1,45.4842129,-69.7111681,30
"269",269,"Bigrock Mountain","http://www.skicentral.com/bigrock.html","Maine","Mars Hill, Maine ",980,NA,NA,35,NA,"n/a","yes",3,46.5224036,-67.8289461,38
"270",270,"Jiminy Peak","http://www.skicentral.com/jiminypeak.html","Massachusetts","Hancock, Massachusetts ",1150,1245,100,45,170,"2 miles / 3.2 km","yes",9,42.5553893,-73.292165,76
"271",271,"Berkshire East Ski Resort","http://www.skicentral.com/berkshireeastskiresort.html","Massachusetts","Charlemont, Massachusetts ",1180,660,110,52,162,"n/a","yes",6,42.622664,-72.878383,68
"272",272,"Ski Butternut","http://www.skicentral.com/butternut.html","Massachusetts","Great Barrington, Massachusetts ",1000,800,110,22,110,"n/a","yes",10,42.1836997,-73.3201482,60
